latitude,longitude,brightness,daynight,bright_t31,acq_time,frp,confidence
-17.298,-56.039,321.7,N,299.8,215,18.5,100
-17.299,-56.05,397.6,N,307.1,215,283.3,100
-17.301,-56.061,368.6,N,305.3,215,129.2,100
-17.302,-56.071,318.2,N,300.1,215,13.9,96
-17.295,-56.046,363.1,N,302.2,215,110,100
-17.296,-56.056,371.8,N,304.7,215,143,100
-17.298,-56.067,336.6,N,302,215,41,100
-17.206,-55.458,317.4,N,295.3,215,14.7,95
-17.288,-56.068,329,N,300.7,215,28.6,100
-17.289,-56.079,330.3,N,300.5,215,30.3,100
-17.291,-56.09,333.2,N,300.4,215,35,100
-17.292,-56.1,309,N,298.9,215,5.4,4
-17.297,-56.132,318.2,N,300.4,215,15.5,96
-17.141,-55.054,309.2,N,297.5,215,7,76
-17.287,-56.134,326.9,N,299.8,215,26.6,100
-17.407,-57.053,307.8,N,296.7,215,9.4,69
-17.408,-57.065,321,N,296.7,215,24.9,100
-17.131,-55.046,330,N,300.2,215,27.3,100
-17.12,-55.037,314.3,N,298,215,9.8,39
-17.433,-57.428,307.1,N,295.9,215,8.1,24
-17.435,-57.441,315.2,N,296,215,17.8,90
-17.639,-59.229,307.2,N,297.1,215,10.3,64
-17.225,-56.034,308.2,N,298,215,6.2,67
-17.516,-58.575,309.1,N,298.1,215,11.4,72
-17.291,-57.027,319.9,N,296.5,215,23.4,99
-15.85,-47.692,301.3,N,290.3,215,14,40
-15.854,-47.71,304.2,N,288.9,215,19.1,59
-15.85,-47.697,303.3,N,289.9,215,15.3,28
-15.853,-47.716,300.8,N,288.6,215,11.5,6
-17.329,-58.063,310.6,N,291.5,215,16.9,78
-16.623,-52.898,323.7,N,295.8,215,20.8,100
-16.625,-52.907,328.8,N,296.8,215,26.9,100
-15.218,-45.331,300.8,N,290.4,215,22.4,31
-15.222,-45.336,306.2,N,290.5,215,41.1,67
-17.086,-57.41,306.6,N,295.7,215,8.9,64
